OW_events;label
"[100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102
 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102
 100 102 100 102 100]";0
"[13 15 89 86  4  6  4  6  4  6  4  6  4  6  4  6 10 12  4 10  6 12  4 10
  6 12  4 10  6 12  4 10  6 12  4 10  6  4  6 12  9  7  4 10  6 12 10 12
  4  6]";1
[21];1
"[18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16
 18 16 18 16 18 16 18 16 18]";0
[94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94];0
[96 94 96];0
[15];0
[];0
[15];0
[100 102 100 102 100 102 100 102 100 102 100];0
"[18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16
 18 16 18 16 18 16 18 16 18 16 18 16 18]";0
[15 13 15 13 15];0
[15 13];0
[13];0
[15 13 15];0
[13 15 13 15 13];0
[13];0
[];0
[13];0
[];0
[13 15 13 15 21];0
[15 13 15 13 15];0
[19 16 18];0
[];0
[58 19 60 15  9  7  9  7 10 12 83 89 80 86  9  7 10  4  6 12  4 10  6 12];1
"[100 102 100  16 102  18 100 102 100 102 100 102 100 102 100 102 100 102
 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102
 100  94  96  94  96  94  96 102  94 100  96  94  96  94  96]";0
[13];1
[15 13 15 13 15 13 15];0
[];0
[13 19];0
[15];0
[13];0
[ 13 100 102 100 102 100];0
[13];0
"[100 102 100 102 100 102  16  18 100  16 102  18 100 102 100 102 100 102
  16  18 100 102  16 100  18 102 100  16 102 100 102  18 100 102 100 102
 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102
 100 102 100 102 100 102 100 102 100 102 100 102 100  16  18 102 100 102
 100 102 100  16  18 102  16  18 100 102 100 102 100 102 100 102 100  16
  18]";0
[];0
[19];0
[];0
[13];0
[19 21];0
"[16 18 94 96 16 18 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96
 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96
 94 96 94]";0
[15 13 15];0
[15 13 15];0
[15];0
[15];0
[15 13 15];0
[13];0
[10 12 10 12  4 10  6 12  4 10  6 12 10 12];0
[];1
[15];0
[15 13];0
[19 13];0
[ 9  7 54 48 46 48 46 52 10 12 10 12  9  7  9  7 54];1
"[13 15 13 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96 94 96
 94 96 94 96]";0
[94 96 94 96 94 96 94 96 94 96 94 96 94];0
[15 13 15 13 15 13 15 13 15 13 15];0
[15 13 15];0
[19];0
"[102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102]";0
[13];0
"[102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100 102 100
 102 100 102 100 102 100 102 100 102 100 102 100 102  13]";0
[83 89 80 86 89 86 83 89 80 86 46 48 46 52 54 48];0
"[100 102 100 102 100 102 100 102 100 102 100 102 100  94  96  94  96  94
  96  94  96  94]";0
